ID, Name, Latitude, Logitude, Sun Rise DateTime, Sun Rise DateTime Range
10, 三貂角,25.00926N, 122.00194E,,
20, 大溪漁港, 24.94171N, 121.90193E,,
25, 外澳車站, 24.88357N, 121.84580E, 2022/11/11 06:08, 2023/02/01 06:37
30, 烏石港, 24.86971N, 121.84091E, 2023/01/31 06:37, 2023/02/23 06:23
30, 烏石港, 24.86971N, 121.84091E, 2022/10/19 05:54, 2022/11/12 06:08
32, 頭城協天宮, 24.85806N, 121.83139E, 2022/10/02 05:46, 2022/10/22 05:56
32, 頭城協天宮, 24.85806N, 121.83139E, 2023/02/21 06:24, 2023/03/12 06:07
35, 大福, 24.79523N, 121.81791E, 2023/05/02 05:18, 2023/06/03 05:04
35, 大福, 24.79523N, 121.81791E, 2023/07/10 05:12, 2023/08/12 05:27
37, 永鎮, 24.77665N, 121.81719E, 2023/05/28 05:05, 2023/07/16 05:14
40, 壯圍, 24.74214N, 121.82067E, ,
50, 蘇澳, 24.59456N, 121.86773E, ,
